text,emotion,score
哇哦，眼睛都在发光了吧，快说快说，是不是有什么好事藏不住了。,confused,0.405722
你忘了上周抽中免费咖啡的事啦，那可是连续三天好运的开端。听说隔壁公司那个高冷总监偷偷在追你同款剧哦。,confused,0.342337
你开心我就撒花啦，看来我的毒蛇功力又进步了。,happy,0.562865
哎呦，被你发现我口是心非的套路啦，嘴上说着随便你，其实心里早就给你备好退路了。,confused,0.627602
火锅咕嘟咕嘟冒泡的时候，烦恼也跟着煮开了吧。你不是总说辣到流眼泪，反而觉得爽，今晚干脆放纵一回。,confused,0.463812
你这脑回路跳的也太突然了，我可是连自己奶茶钱都肯借你的那种，还谈什么戏声？,confused,0.593633
你这脑洞开的海豹和企鹅隔了个地球呢，他们连微信都加不了，怎么约饭？,confused,0.608940
你这对比让我瞬间失去判断能力了，等等，你该不会真试过哪个吧。,confused,0.552964
你这脑洞开的，我差点以为要煮混凝土火锅，要不咱先煮个泡面，清醒一下再聊。,confused,0.683275
板蓝跟泡面，你居然真是了，99块的电池都比他有味觉尊严。,confused,0.545931
你这脑洞开的，我差点以为在听化学课相声，消毒水煮电池兄弟，厨房变实验室也太危险了。,confused,0.630647
你这操作是想炸了实验室吗？电池遇高温或腐蚀性液体可能泄露，甚至爆炸，别拿安全开玩笑啊。,confused,0.341723
直接放玉米粒在锅里可不行哦，你这想法挺有烟火气，但小心炸成厨房灾难现场。,confused,0.328789
你这脑洞开的，我差点以为在听科幻相声，要不咱先定一下口感是从哪个维度算的，化学反应还是玄学？,confused,0.881352
哎呦，突然暴击是吧？我这不是陪你演了这么久的乖助理吗？要不你出题考，我看谁能把谁聊福气。,confused,0.403220
哎呦这题可太会出啦，我可是靠你养的，得罪谁都不行啊。,confused,0.282494
哎喂，这都能歪到你头上，叫爸爸也得先过我这关，拿点诚意来呀。,confused,0.497855
哎呦，一上来就下阵书啊，我可是专治各种不服，来呗。,confused,0.495391
你这脑洞开的也太猛了，真水滴变炮弹，这题我会别担心空气阻力会把它变成温柔意林，顶多吓人一跳。,confused,0.725330
把棍子横过来走，门又不是只能竖着过，你该不会是想扛着他跳过去吧。,confused,0.586707
咋了？这是被生活偷袭了，说来听听，我给你顺顺气。,confused,0.389358
艾文，连环扣，我是不是有啥好事要宣布啊，再喊下去，隔壁家狗都要跟着叫了。,confused,0.393394
怎么了？这是谁惹你了，我听着呢，要不要先深呼吸几次，慢慢说。,confused,0.549598
你终于发现新大陆了，那家店的麻辣烫可是藏不住的香，是不是连汤都喝的一滴不剩。我懂上次我也这样。,confused,0.474871
哇，谁让你这么激动啊，快说说看是谁，该不会是那个总在楼下咖啡店偶遇的神秘帅哥吧。,confused,0.409426
天呐，现在人没事吧，疼不疼，要不要先处理伤口，还是已经去医院了？,confused,0.323360
哎呦，谁惹你了，说来听听，该不会又是你那个总抢你外卖的同事吧。,confused,0.318267
终于要解放了，是不是已经订好票了？这波假期打算去哪儿了，还是准备宅家躺平？,confused,0.508686
又遇到活体沙雕了，说来让我也乐呵乐呵，不过你都无语了，那场面肯定很有画面感。,happy,0.591400
怎么了？这是突然哪里不对劲吗？是累着了，还是吃东西不舒服？,confused,0.736733
又炸心情了，谁惹你了，说来听听手机摔了，还得花钱换，不值得啊。,angry,0.271349
谁呀？这是气得我都想替你翻白眼了，具体发生了什么事儿，说来听听。,confused,0.328395
你说话跟蚊子哼似的，谁受得了啊，我耳朵又不是定向收音慢。,confused,0.337327
查麻辣烫的味儿了吧，下班路上烧一份，老板都懂你这种急迫，实在不行，先囤包方便面压压惊。,confused,0.363729
哎呦突然开火啊，我咋惹你了，要不你出题考我，让我证明一下自己。,angry,0.370090
哎呦，这话可冤死我了，我明明听的可认真了，是不是你表达太飘，自己都飞走了。,sad,0.378022
哎呦，这话从何说起啊，我招你惹你了，要不咱俩比比谁反应快，输的请喝奶茶。,confused,0.337645
嗨这声你好呀，听着可真稀罕。咋的，今天有啥好事要分享？,confused,0.411690
呵呵你这开心写在脸上了吧，是不是有啥好事藏不住了，快交代。,happy,0.825176
哎呦，故意掉我胃口是吧？你这开心藏都藏不住，眼角都飞到天花板了。,happy,0.455042
